Feature Group,FGI,FGI_RANK
garch,0.008034478533333334,19.0
saccade_length,0.007722666899999999,19.0
saccade_duration,0.00837049675,24.0
heatmaps,0.0082450384,25.0
fft,0.008594923566666668,25.666666666666668
fixation_duration,0.00884361555,32.5
all,0.009046600425,34.0
markov,0.008684025549999998,34.5
Arma,0.0093491899,41.0
lhipa,0.0096216855,47.0
